"VarName";"TimeString";"VarValue";"Validity";"Time_ms";"Checksum"
"CT313_PV_OUT";"02.07.2023 13:41:50";0;1;45109570716,6898;iFvAoh
"CT313_PV_OUT";"02.07.2023 13:42:20";0;1;45109571061,7245;Rd6TNQ
"CT313_PV_OUT";"02.07.2023 13:42:50";0;1;45109571408,7269;c/+z2I
"CT313_PV_OUT";"02.07.2023 13:43:20";0;1;45109571755,8796;T2DbuZ
"CT313_PV_OUT";"02.07.2023 13:43:50";0;1;45109572102,963;jV/K4B
"CT313_PV_OUT";"02.07.2023 13:44:20";0;1;45109572448,7153;bs2Zko
"CT313_PV_OUT";"02.07.2023 13:44:50";0;1;45109572796,1227;Gign/d
"CT313_PV_OUT";"02.07.2023 13:45:20";0;1;45109573142,963;MpZM0t
"CT313_PV_OUT";"02.07.2023 13:45:50";0;1;45109573489,7222;mh15YZ
"CT313_PV_OUT";"02.07.2023 13:46:19";0;1;45109573835,0463;GD6GQS
"CT313_PV_OUT";"02.07.2023 13:46:49";0;1;45109574183,1829;OA5MS5
"CT313_PV_OUT";"02.07.2023 13:47:20";0;1;45109574531,713;Z5UWvD
"CT313_PV_OUT";"02.07.2023 13:47:50";0;1;45109574879,4792;oypHRT
"CT313_PV_OUT";"02.07.2023 13:48:19";0;1;45109575223,5532;UmQ/rC
"CT313_PV_OUT";"02.07.2023 13:48:49";0;1;45109575571,5046;CKplwJ
"CT313_PV_OUT";"02.07.2023 13:49:19";0;1;45109575918,6111;4xvVBI
"CT313_PV_OUT";"02.07.2023 13:49:49";0;1;45109576265,6134;pD7c07
"CT313_PV_OUT";"02.07.2023 13:50:19";0;1;45109576613,9583;q9Qb4I
